month_first,female,mean_acad,mean_person,se_acad,se_person
0,0,3.6376932,0.3285273,0.12188914,0.015150046
1,0,4.1254973,0.37344885,0.14499891,0.016589947
2,0,3.0620351,0.33249032,0.10677011,0.017876627
3,0,3.0823929,0.36449936,0.12513159,0.016477387
4,0,3.2223907,0.34741428,0.11152616,0.014068766
5,0,3.0311816,0.32786289,0.095472649,0.01304454
6,0,3.1051879,0.33704647,0.091070935,0.012995727
7,0,3.4154539,0.31392932,0.1020433,0.011331543
8,0,3.6193058,0.29193783,0.10601986,0.012169677
9,0,3.0267212,0.28754097,0.098398313,0.010830061
10,0,3.3980737,0.34553415,0.11001863,0.013640386
11,0,3.6487813,0.33361542,0.10837761,0.012689454
0,1,2.4764631,0.90203559,0.15806755,0.045828976
1,1,2.7193785,0.96709323,0.20139006,0.057364531
2,1,2.7247791,0.85169691,0.13409264,0.039886996
3,1,1.6877159,0.96053278,0.097968385,0.043286581
4,1,1.6447439,0.90943396,0.093808614,0.040254027
5,1,1.9041291,0.81063122,0.10955534,0.034759965
6,1,1.6075739,0.86350393,0.087791584,0.033384979
7,1,1.7318506,0.93579519,0.10653768,0.037351418
8,1,1.7843955,0.86777842,0.098264053,0.040048189
9,1,1.9949973,0.90661478,0.12385245,0.046627123
10,1,1.8196721,0.96456903,0.11581641,0.049656488
11,1,2.285326,1.0097826,0.13596216,0.047103941
0,,1.6978692,0.13597393,0.025834618,0.003416547
1,,1.9279237,0.14031816,0.033200048,0.00369398
2,,1.4394417,0.13976502,0.022407709,0.003483756
3,,1.4169316,0.14747058,0.021156397,0.0032946
4,,1.3857272,0.13945885,0.022283016,0.003389876
5,,1.6226708,0.1411213,0.024360456,0.003099097
6,,1.6088119,0.13827398,0.022305537,0.002955652
7,,1.7310426,0.1479896,0.022700951,0.003289018
8,,1.8731592,0.13705219,0.028582716,0.003317443
9,,1.4651362,0.12200419,0.020699913,0.002883991
10,,1.5377599,0.14272974,0.023252295,0.003258281
11,,1.6241441,0.13559668,0.023526015,0.003127405